timestep,ep_reward,ep_length
18164,1.6156665,17
18188,-1.4776667,7
18212,15.670668,22
18236,0.2019999,6
18260,5.265333,6
18268,36.30267,68
18268,34.562,26
18304,3.3403335,11
18304,0.08300018,9
18328,4.908334,15
18348,-0.96833324,5
18400,26.751,53
18424,7.9666657,30
18468,7.9403334,11
18484,12.721666,45
18488,9.294,22
18504,0.09500027,5
18516,20.15067,42
18532,-0.22433329,7
18552,-0.8036666,9
18552,5.380333,21
18564,3.2530005,19
18576,-3.1513333,6
18588,3.1046667,14
18608,-0.6883333,5
18628,1.9483334,5
18628,0.44866633,16
18648,13.194667,24
18648,-1.7783334,5
18668,2.4250002,5
18688,-1.4016668,5
18712,9.478667,16
18724,0.49633336,9
18740,-2.6176667,7
18768,18.709335,48
18796,7.854668,14
18824,-0.38100004,7
18860,19.141335,34
18880,3.9550002,5
18888,6.4019995,16
18900,20.610996,33
18912,1.9326665,8
18948,56.89333,80
18952,3.2033331,10
18980,-1.6873333,8
18984,0.7026664,8
19000,49.34833,25
19012,0.9789999,7
19044,3.1770005,11
19060,4.6273327,12
19064,-0.365,5
19080,3.415,5
19112,20.478662,56
19120,20.845005,35
19132,33.934334,13
19152,3.3249998,5
19176,1.0646665,14
19200,3.1873326,12
19212,6.564999,25
19216,4.27,10
19244,1.9856668,7
19244,6.2003336,11
19264,1.6816666,5
19272,-1.2309997,7
19284,0.34833336,5
19296,0.1686666,6
19316,37.667664,63
19336,-3.182333,13
19344,2.7590003,7
19364,25.79267,38
19404,13.102336,27
19432,1.225667,17
19448,11.025334,26
19464,-1.8540002,8
19468,6.325334,16
19472,3.4620001,6
19508,-1.0303333,9
19516,2.8806667,12
19528,14.379339,48
19544,-0.7803333,9
19568,-1.1056668,13
19572,30.133667,11
19572,10.279,27
19588,0.9983332,5
19608,8.416334,9
19608,28.986334,9
19628,29.84,10
19636,27.822334,7
19640,4.0880003,24
19652,1.7686665,6
19652,2.2036667,11
19660,1.8083334,5
19708,16.022667,18
19720,1.4989998,17
19732,5.9493327,18
19740,-1.9549999,5
19744,-0.8003335,9
19768,41.919662,29
19788,30.954,12
19812,28.283333,20
19848,13.002,26
19848,6.3816676,15
19848,-0.97700006,9
19852,9.153667,21
19876,25.819,7
19904,-1.5709999,7
19924,1.6693332,18
19964,0.65999997,10
19984,2.4866662,20
20008,21.926668,40
20028,29.058336,45
20044,-1.8803333,9
20048,0.78166664,5
20064,6.586667,20
20068,1.7583336,5
20104,29.213,9
20120,11.389668,39
20180,8.493,19
20204,50.284996,35
20208,11.997,41
20224,3.5116668,5
20236,0.20233345,7
20244,3.2353332,16
20248,7.910667,32
20252,5.925667,7
20280,3.4869998,11
20288,1.1596668,9
20300,2.2576668,13
20308,-2.6283333,5
20340,11.404666,24
20344,10.686999,11
20360,-1.1583334,5
20404,8.505001,15
20412,17.947666,33
20484,37.940334,31
20484,7.993334,20
20512,11.511668,25
20528,46.42833,55
20536,8.511,13
20548,5.732,16
20548,27.605,5
20596,32.405,15
20620,12.789002,27
20640,9.067666,23
20648,6.9150004,25
20672,3.3609993,13
20672,4.659667,19
20716,2.757,11
20768,20.093998,32
20820,48.425667,37
20824,23.638,44
20900,12.966335,19
20920,10.408337,25
20932,5.316,8
20980,6.300667,12
21000,13.397003,71
21052,14.744334,33
21072,4.9349995,5
21076,10.599667,19
21084,51.59299,79
21108,-1.6969999,9
21116,14.017999,34
21120,5.3503337,11
21176,12.447666,23
21216,11.551669,25
21224,6.2386656,26
21240,22.03767,33
21264,1.9566667,10
21304,2.2386665,16
21308,1.4903333,11
21332,1.2456666,7
21360,-1.4976666,7
21392,6.003666,21
21404,2.5236666,11
21480,25.93867,66
21484,14.576668,20
21500,9.159,27
21504,4.5216665,5
21508,0.5756664,7
21520,25.875336,86
21540,-1.9216667,5
21564,0.5080004,14
21564,5.6120005,16
21572,3.2293334,8
21588,9.3603325,21
21612,1.320667,12
21628,29.278,14
21656,2.3203328,11
21760,25.414335,43
21772,43.69867,36
21816,7.014668,14
21828,8.121,43
21836,34.90933,68
21848,40.049667,19
21848,7.522667,8
21864,8.496333,9
21876,3.2489998,7
21880,5.347,11
21880,-0.5773332,8
21908,2.4290001,7
21916,9.891002,13
21944,2.1089997,7
21944,8.292,16
21960,4.1569996,21
21980,0.21499991,5
21988,5.0703335,11
21996,8.860668,22
22008,4.738333,5
22020,-0.8579999,6
22028,-1.6016666,5
22036,19.150997,23
22048,4.3623333,7
22076,4.5323334,7
22076,11.204,12
22092,31.406,28
22100,5.6453333,16
22140,1.3986669,16
22184,18.157667,23
22216,2.9383335,35
22232,5.0806665,12
22260,38.166668,30
22288,29.249,7
22292,5.819666,19
22344,-3.479,13
22364,-0.91166675,5
22404,-3.516667,10
22408,27.162336,77
22424,1.2916667,5
22444,0.24966693,9
22460,55.562332,57
22480,-1.0470002,9
22516,1.678,14
22560,5.047,11
22584,45.61333,40
22624,6.062,16
22632,54.99533,86
22640,5.8980007,14
22652,-0.33500004,5
22656,23.444666,44
22684,1.1756668,7
22700,8.639667,19
22704,-0.40166676,5
22716,14.961997,16
22724,0.0050001144,5
22776,0.7210002,13
22780,39.956665,20
22784,8.802,36
22800,27.785334,6
22820,2.7266665,10
22824,-2.3813334,6
22836,7.003333,30
22852,26.152666,8
22852,12.035667,17
22876,-0.60466665,6
22880,-0.9596668,11
22884,-1.0973332,8
22904,0.669,7
22904,1.8800002,20
22916,4.016333,9
22932,0.39233315,7
22968,4.8596663,9
22996,-1.5109999,7
23012,6.624001,32
23032,-3.1416667,5
23056,16.10267,38
23056,9.808336,15
23092,-3.4370003,9
23100,30.107,11
23120,4.267333,22
23140,0.48500013,5
23140,32.98533,56
23192,-2.5756667,13
23196,19.838667,26
23224,1.909,7
23244,32.004333,13
23260,2.3763328,9
23260,28.5,40
23264,-1.6016667,5
23284,-0.5079999,6
23288,2.8623333,7
23304,-0.6033335,10
23308,-2.3783333,5
23408,52.39567,67
23408,10.415002,25
23448,-0.85,10
23452,-0.8629999,11
23460,29.196335,39
23496,2.329667,9
23512,5.378667,16
23528,38.907,61
23532,0.79166675,5
23552,0.5813329,14
23560,28.062332,7
23580,-2.3683333,5
23588,4.9049993,15
23620,4.7323337,17
23628,30.674,12
23640,2.2776663,13
23664,3.306333,9
23672,5.7926664,8
23692,2.9056666,7
23700,-1.1543332,7
23716,30.495337,66
23724,-1.1973332,8
23728,7.082335,27
23744,-0.61300015,11
23764,0.343333,10
23768,4.8566666,10
23780,8.642001,16
23780,-0.8336667,9
23784,0.5183333,5
23812,0.18900001,7
23812,32.747,11
23824,3.2870002,11
23852,1.7390001,7
23852,38.50267,18
23860,0.5406666,12
23880,5.6423335,7
23888,14.939669,19
23920,34.049004,17
23924,-0.9036666,9
23956,4.0896664,9
23956,0.21600008,8
23984,1.6323334,7
24028,13.188998,37
24044,38.628674,46
24056,-0.13433325,7
24080,2.4413323,24
24092,-1.877,9
24132,31.483334,10
24160,20.227003,51
24180,22.125002,25
24188,1.9946663,14
24216,2.4430003,9
24220,16.134668,44
24236,26.945,5
24252,-0.569,23
24268,-1.1799998,20
24272,3.525,5
24320,-2.4293334,12
24348,4.1923327,7
24352,19.071001,33
24356,-1.0733335,30
24372,12.788669,26
24376,-0.8249999,5
24396,-0.42933345,12
24416,6.1400003,10
24444,12.164334,23
24452,16.396667,20
24468,-0.085666776,13
24472,0.14166665,5
24480,10.687001,21
24496,-1.3046665,6
24500,-1.1816666,5
24564,35.452,16
24580,17.886,28
24600,42.903,39
24632,-0.09399986,8
24664,10.158333,25
24684,-2.235,5
24712,5.095667,7
24732,13.138335,25
24748,4.699667,9
24788,0.6700001,10
24816,38.040333,21
24820,3.7193334,8
24836,0.7083334,5
24904,9.4123335,17
24924,1.7850001,5
24952,47.300987,93
24964,21.148664,36
24980,29.869,7
25000,0.17500007,5
25020,1.8383332,5
25032,94.8813,134
25056,10.581001,23
25056,13.860999,33
25100,30.130333,11
25112,11.234335,23
25116,-0.9749999,15
25140,3.3956666,7
25160,0.5916666,5
25180,2.1916666,5
25248,17.517666,33
25252,36.732666,38
25268,0.5050001,5
25280,-3.1676667,7
25292,29.471663,65
25312,20.991003,33
25324,34.588,14
25352,3.869,7
25380,-1.6843333,7
25392,6.568333,25
25408,-2.5676668,7
25432,3.858667,6
25436,10.077,31
25436,19.13967,39
25456,0.41499996,5
25476,5.5836673,11
25500,30.110332,11
25520,-0.325,5
25548,-1.011,7
25564,12.020668,22
25592,-3.5809999,7
25632,14.117001,21
25660,36.402332,67
25700,13.212334,27
25712,3.2376666,13
25720,8.484001,22
25736,0.059666872,9
25748,38.12934,78
25792,8.274667,14
25792,4.7936664,11
25840,15.650669,32
25844,10.371,13
25856,12.375335,16
25900,1.2050003,15
